,Antenna,Hats,Faces,Heads,Body,Backgrounds,Rarity score,Token Id
2829,Purple 2,Halo,Happy lashes,Qurikie bot MK 3,Astroquirkie,Purple,20.786605009606827,2829
2830,Graff bubble,Blue mega mohawk,White eyes shock,Yellow,Kung fu ,The blues,21.48917524066573,2830
2831,Doughnuts,Sheriff,Vamp,Quirkie bot MK 1,Ancient quirkie robes,Blurple,28.511688703990185,2831
2832,Red 2,Antlers,3 eyes happy,Light purple,Pyjamas,Misty green,28.862552387489504,2832
2833,Goo,Pink beanie,Proud,Greeeen,Lab coat,Pinkish,13.974986243694254,2833
2834,Red 2,Donut head,Lazers,Blue,Purple suit,Honey melon,15.660177058978142,2834
2835,Red 2,Blossom brain ,3 eyes what,Pinkish,Yellow hoodie,Mist in the artic,26.96653709069585,2835
2836,Planets purple,Party hat,Blergh ,Pinkish,Hawian shirt,The blues,16.99447610447982,2836
2837,Pierced,Bear hug,FinchOne skull,Yellow,Pink camo puffa,Purple with stars,37.92172440716936,2837
2838,Double green,Blone surf hair,White eyes happy,Quirkie bot MK 1,trash tee,Simply pink,20.64634100548766,2838
2839,Double green,Halo,1 eye,Another green,Yellow hoodie,The blues,5.617906815981983,2839
2840,,Onesie tiger,Onesie tiger,Quirk green,Onesie tiger,Epic rare rainbow,74.0173477902042,2840
2841,White 27,Ice cream,Nest beard,Pinkish,Leather jacket gold chain,Misty green,39.747628758332795,2841
2842,Feather,Horns,Nearly focused,Blue,Yellow backpack,Blurple,12.21919282140054,2842
2843,Planets purple,Artic bobble brown hair,Green bandana,Quirkie bot MK 1,Pink hoodie,Honey melon,28.58170127922412,2843
2844,Fire,Beanie brown,What ,Quirk green,Pink hoodie,Pinkish,12.078689980780338,2844
2845,Blue 2,Thunder,Amazed ,Peach,Kung fu ,Misty turquoise,28.862819288835606,2845
2846,Bones,Blone surf hair,Cutie,Another green,Pink hoodie,The blues,11.3062757350605,2846
2847,Orange 1,Head band ,Proud,Qurikie bot MK 3,Arrows,Simply pink,6.179580886593727,2847
2848,Graff bubble,Blue bmx helmet,Skull mask,Shiny,Green backpack,Turquoise,36.166113606714795,2848
2849,Purple 2,Sock monkey,Warpaint 3,Pinkish,Pink back pack,Pale peach,12.289388021981638,2849
2850,Pierced,Pink bucket hat,Happy lashes,Pink,Ancient quirkie robes,Neutral,28.019732211238917,2850
2851,Goo,Sock monkey,Lashes heart tattoo,Quirkiebot MK2,Blue camo tee with chain ,The blues,21.418881682161274,2851
2852,Pink 1,Pink surfer,2D,Pink,Wool demim ,Honey melon,19.733438003410715,2852
2853,Planets purple,Bear hug,Dandy tash,Peach,Punk rock,Pale peach,29.98644840592382,2853
