,Eyes,Mouth,Hat,Clothes,Skin,Background,Rarity score,Token Id
271,Happy,Whistle,Backward Cap,White Tee,Yellow,Sunset,37.959150467616276,271
272,Hippy,Buck Teeth,TP Roll,Tie Dye Tee,Butter Milk,Green,29.27396013419185,272
273,Cave Duck,Tongue Out,Sushi Master,Biker Jacket,Pink Donut,Toxic,53.53006859468864,273
274,Standard,Wavey,Beanie,Blasted,Spectrum,Grey,40.709945125830686,274
275,Cyclops,Woo,Sweat Band,Watermelon Shirt,Butter Milk,Candy,24.983165636653073,275
276,Hippy,Thinkin,TP Roll,Turtle Neck,White Pebble,Boardwalk,39.44690931496197,276
277,Hippy,Tongue Out,Pyramid Head,Wet Suit,Red,Candy,27.958991297698283,277
278,Super Happy,Brace Face,Beanie,Pancho,Grey,Pink,34.343054508387745,278
279,Cave Duck,Brace Face,Hair,Overalls,Butter Milk,Deep Purple,22.785878615325622,279
280,Dead,Buck Teeth,Comb Over,Puffycoat,Dark Green,Deep Purple,40.74456541346233,280
281,Standard,Woo,Pants,Itchy Ass Sweater,Red,Green,28.14926879197636,281
