,Legendary,Origin,Augmint,Advocate,Hat,Eyes,Neck,Body,Background,Mouth,Nosering,Special,Spikes,Skin,origin,Rarity score,Token Id
5764,None,Baby,None,None,Stealth Headband,Happy,Black Jacket,None,Blue,None,None,None,Brown,Sand,None,27.237559459109832,5764
5765,None,Baby,None,None,None,Sad,Silver Spike Collar,None,Olive,None,None,None,Brown,Burgundy,None,12.418550055458216,5765
5766,None,Baby,Business Attire,None,Black Beanie,White Thick Rims,None,None,Purple,Snaggle Tooth,None,None,Gray,Blue,None,42.86937242154341,5766
5767,None,Baby,None,None,None,Looking Forward,White Toga,None,Sand,None,None,None,Green,Sand,None,13.34225511019517,5767
5768,None,Baby,Business Attire,None,None,Looking Up,Gold Bowtie,None,Sky Blue,None,None,None,Gray,Gray,None,12.805086167082877,5768
5769,None,Baby,Business Attire,None,None,None,None,None,Purple,None,None,Solid Snek,Brown,Brown,None,35.427278579024815,5769
5770,None,Baby,Business Attire,None,None,Looking Up,Black Jacket,None,Teal,None,None,None,Brown,Gray,None,13.802544672118403,5770
5771,None,Baby,None,None,Black Beanie,Looking Up,Camo Hoodie,None,Sky Blue,None,None,None,Sand,Black,None,26.6666533163563,5771
5772,None,Baby,Business Attire,None,Orange Cap,Blushy Sleepy,Gold Bowtie,None,Orange,E Cig,None,None,Gray,Gray,None,48.06994541545335,5772
5773,None,Baby,Business Attire,None,None,Looking Up,Gold Spike Collar,None,Lime,None,None,None,Green,Red,None,18.060797752938065,5773
5774,None,Baby,Business Attire,None,Trapper Hat,Looking Forward,Gold Spike Collar,None,Yellow,None,None,None,Brown,Brown,None,29.4662348223169,5774
5775,None,Baby,Business Attire,None,Black Visor,Tired,Gold Bowtie,None,Green,None,None,None,Gray,Gray,None,28.55952556172317,5775
5776,None,Baby,Business Attire,None,None,Blushy Happy,None,None,Olive,Cigarette,Bronze Ring,None,Sand,Gray,None,50.5328803978741,5776
5777,None,Baby,Alien Spikes,None,None,Thug Life,None,None,Purple City,None,None,None,Sand,Gray,None,18.498883066852496,5777
5778,None,Baby,Business Attire,None,Tan Bucket Hat,Sad,Gold Chain,None,Olive,None,None,None,Sand,Green,None,29.610679061100825,5778
5779,None,Baby,Business Attire,None,Black Beanie,Happy,Brown Jacket,None,Green City,None,Bronze Ring,None,Brown,Burgundy,None,58.5505595508662,5779
5780,None,Baby,Business Attire,None,Batsy Bucket Hat,Looking Up,Green Bowtie,None,Sky Blue,None,None,None,Sand,Brown,None,27.273741082597958,5780
5781,None,Baby,None,None,Green Beanie,Annoyed,Gold Spike Collar,None,Sand,Snaggle Tooth,None,None,Sand,Brown,None,46.28190032435384,5781
5782,None,Baby,None,None,Black Beanie,Looking Up,None,None,Lime,None,None,None,Sand,Sand,None,16.839871494158633,5782
5783,None,Baby,Business Attire,None,Green Seethrough Visor,Concern,None,None,Teal,None,None,None,Blue,Purple,None,25.813887266633905,5783
5784,None,Baby,Business Attire,None,Red Seethrough Visor,Looking Forward,None,None,Blue,None,None,None,Green,Burgundy,None,19.820775359898,5784
5785,None,Baby,Business Attire,None,None,Eye Patch,None,None,Olive,Snaggle Tooth,None,None,Burgundy,Brown,None,24.790583254131604,5785
5786,None,Baby,Business Attire,None,None,Looking Up,Silver Chain,None,Neon,None,Bronze Ring,None,Brown,Green,None,43.594644058010765,5786
5787,None,Baby,None,None,Psychedelic Bucket Hat,Annoyed,None,None,Green,Cigar,None,None,Purple,Gray,None,38.67399367851533,5787
5788,None,Baby,Business Attire,None,Trapper Hat,Blushy Sleepy,Black Hoodie,None,Olive,Banana,None,None,Gray,Burgundy,None,48.078455331618464,5788
5789,None,Baby,None,None,None,Looking Up,Gold Bowtie,None,Gray,None,None,None,Gray,Sand,None,12.000028763216179,5789
