,Body,Outerwear,Eyes,Species,Shoes,Background,Head,Attitude,Headwear,Eyewear,Underfoot,Rarity score,Token Id
5520,Green,None,Relaxed,Mutant Toad,None,Pink-ish,Mouse,Passant,Moon Hat,None,None,26.560493824403103,5520
5521,Blue,None,Divit,Bird,None,Blue,Skull,Passant,None,None,None,5.5530898593046745,5521
5522,Red,None,Side-eye,Rabbit,Hightops (White),Yellow,Skull,Sejant,Witch's Hat,None,None,22.889159724749412,5522
5523,Brown,None,Side-eye,Mouse,None,Green,Skull,Sejant,None,None,None,1.8816888246824137,5523
5524,Black,Diamond Grill,None,Fish,None,Yellow,Flesh,Sejant,None,Noggles,None,49.41403508826411,5524
5525,Black,None,Sleepy,Rat,Socks (Classic),Grey,Skull,Statant,Stealth Headband,None,None,28.370601537831064,5525
5526,Red,None,Heart,Mouse,None,Pink-ish,Skull,Statant,Mohawk (Green),None,None,14.887215969948183,5526
5527,Grey,None,Eclipse,Toad ,None,Yellow,None,Crustant,Blood Moon Hat,None,None,16.652463660168785,5527
5528,Black,None,Discerning,Mouse,Socks (Pellet),Grey,Creep,Rampant,Fire,None,None,25.21666128974691,5528
5529,Red,None,None,Fish,Socks (Classic),Green,Flesh,Statant,None,Rose-Coloured Glasses,None,38.33362850961799,5529
5530,Red,None,Diamond,Cat,None,Blue,Flesh,Rampant,None,None,None,5.347951364931302,5530
5531,Grey,None,Suspicious,Toad ,None,Yellow,None,Sejant,Durag,None,None,16.304642207444534,5531
5532,Black,None,None,Fish,None,Grey,Creep,Statant,None,Sunglasses,None,25.858322537506957,5532
5533,White,Gold Grill,Side-eye,Rat,Socks (Floppy),Green,Flesh,Statant,Backwards Hat,None,None,50.02082737383111,5533
5534,White,None,Angry,Rabbit,None,Grey,Creep,Sejant,Lincoln,None,None,10.550013366767189,5534
5535,Green,None,Rainbow,Mutant Toad,None,Pink,Rabbit,Sejant,Rubber Duck,None,None,28.275643873687432,5535
5536,Blue,None,Void,Fish,Slipons (Grey),Grey,Flesh,Rampant,Halo,None,None,28.47163092542062,5536
5537,Black,Space Helmet,None,Bird,None,Green,Flesh,Statant,None,Rose-Coloured Glasses,None,48.78972831599227,5537
5538,Purple,Bomber Jacket,Dead,Cat,None,Blue,Creep,Rampant,None,None,None,30.019920238728048,5538
5539,Pink,None,None,Toad ,Socks (Classic),Green,None,Sejant,Ranger,Jobs Glasses,None,51.54232951727376,5539
5540,Purple,None,Void,Bird,Slipons (Pink),Blue,Flesh,Sejant,Croissant,None,None,28.53406445970372,5540
5541,Brown,None,None,Cat,Slipons (White),Pink,Skull,Statant,Headband,Patch,None,49.13805780215699,5541
5542,Brown,None,Divit,Rabbit,Hightops (Blue),Pink-ish,Creep,Sejant,Beanie (Green),None,None,27.08047029308917,5542
5543,Blue,None,Divit,Rabbit,Gym (Crusty),Pink-ish,Skull,Passant,Croissant,None,None,28.4686579430491,5543
5544,White,None,Dead,Rabbit,None,Green,Flesh,Statant,Beanie,None,None,13.255233022789437,5544
5545,Blue,None,None,Lizard,Hightops (Blue),Grey,Flesh,Rampant,Grail,Noggles,None,49.982259160475735,5545
5546,Red,None,Sleepy,Mouse,Hightops (Grey),Green,Creep,Rampant,Halo,None,None,25.814251652941145,5546
5547,Brown,None,Sleepy,Bird,Hightops (Green),Grey,Flesh,Statant,None,None,None,20.181351826726342,5547
5548,Red,None,None,Rat,None,Grey,Skull,Rampant,None,3D,None,23.09393907420238,5548
5549,Green,None,Suspicious,Toad ,None,Purple,None,Rampant,Captain's Cap,None,None,17.232104330476087,5549
5550,White,None,Relaxed,Fish,None,Yellow,Creep,Rampant,Skully,None,None,14.491833325478098,5550
5551,Blue,None,Relaxed,Mouse,Hightops (Red),Blue,Creep,Crustant,Stealth Headband,None,None,26.45327438395887,5551
5552,Brown,None,Divit,Rabbit,None,Green,Flesh,Crustant,None,None,None,1.7896167566000516,5552
5553,Purple,None,Void,Mouse,None,Yellow,Creep,Passant,Ranger,None,None,12.268235121459815,5553
5554,Pink,None,None,Bat,Slipons (White),Purple,Creep,Statant,None,Noggles,None,42.9260375664278,5554
5555,White,None,Twinkle,Rabbit,Gym (Crusty),Green,Skull,Crustant,Beanie (Green),None,None,28.557911644362953,5555
5556,Black,None,Angry,Bug,None,Pink-ish,Flesh,Sejant,None,None,None,7.833064426944185,5556
