,Mouth,Clothes,Eyes,Fur,Background,Hat,Earring,Name,Rarity score,Token Id
11240,M1 Phoneme Vuh,M1 Bandolier,M1 Coins,M1 Dark Brown,M1 Yellow,M1 Sea Captain's Hat,None,None,38.96356628166342,12534
11241,M1 Bored Unshaven Cigarette,M1 Prom Dress,M1 Bored,M1 Brown,M1 Orange,M1 Girl's Hair Short,None,None,33.942420334844485,12536
11242,M1 Small Grin,M1 Navy Striped Tee,M1 Closed,M1 Pink,M1 Blue,M1 Fez,None,None,41.67624434202464,12538
11243,M2 Small Grin,M2 Navy Striped Tee,M2 Closed,M2 Pink,M2 Blue,M2 Fez,None,None,52.93780435271,12539
11244,M1 Bored Bubblegum,M1 Navy Striped Tee,M1 Heart,M1 Black,M1 Gray,None,None,None,28.132905191621795,12544
11245,M1 Grin Multicolored,M1 Tuxedo Tee,M1 Hypnotized,M1 Golden Brown,M1 Army Green,M1 Spinner Hat,None,None,44.89671931456499,12546
11246,M2 Grin Multicolored,M2 Tuxedo Tee,M2 Hypnotized,M2 Golden Brown,M2 Army Green,M2 Spinner Hat,None,None,53.823105032237805,12547
11247,M1 Dumbfounded,None,M1 3d,M1 Cream,M1 Yellow,M1 Girl's Hair Short,None,None,31.46362712862742,12548
11248,M1 Grin,M1 Sailor Shirt,M1 Holographic,M1 White,M1 Blue,M1 Seaman's Hat,M1 Cross,None,87.58968190170016,12552
11249,M2 Grin,M2 Sailor Shirt,M2 Holographic,M2 White,M2 Blue,M2 Seaman's Hat,M2 Cross,None,98.40318850245986,12553
11250,M1 Bored,None,M1 Sad,M1 Robot,M1 Orange,M1 Fisherman's Hat,None,None,23.51592449519955,12556
11251,M2 Bored,None,M2 Sad,M2 Robot,M2 Orange,M2 Fisherman's Hat,None,None,39.33774576441921,12557
11252,M1 Bored,M1 Striped Tee,M1 Bloodshot,M1 Pink,M1 Yellow,None,None,None,17.906757646834944,12558
11253,M1 Bored,None,M1 Sleepy,M1 Brown,M1 Gray,None,None,None,5.118180313505905,12562
11254,M2 Bored,None,M2 Sleepy,M2 Brown,M2 Gray,None,None,None,23.910172792270746,12563
11255,M1 Bored Pipe,M1 Hawaiian,M1 Robot,M1 Cream,M1 Blue,None,None,None,31.293269571321858,12564
11256,M1 Tongue Out,M1 Leather Jacket,M1 Coins,M1 Dmt,M1 Yellow,M1 Stuntman Helmet,None,None,45.66174462485812,12566
11257,M1 Phoneme  Ooo,M1 Lumberjack Shirt,M1 Closed,M1 Cream,M1 Blue,M1 Cowboy Hat,None,None,41.71298429925885,12568
11258,M1 Bored,None,M1 Angry,M1 Blue,M1 Yellow,M1 Seaman's Hat,None,None,22.607239805599544,12570
11259,M1 Small Grin,M1 Vietnam Jacket,M1 Sunglasses,M1 Black,M1 Blue,M1 Safari,M1 Gold Stud,None,84.95727635049204,12572
11260,M2 Small Grin,M2 Vietnam Jacket,M2 Sunglasses,M2 Black,M2 Blue,M2 Safari,M2 Gold Stud,None,97.79185406367633,12573
11261,M1 Small Grin,M1 Blue Dress,M1 Robot,M1 Pink,M1 Purple,None,None,None,31.96811124454077,12574
11262,M1 Grin Gold Grill,M1 Leather Jacket,M1 Wide Eyed,M1 Black,M1 Yellow,M1 Sea Captain's Hat,None,None,40.333277462117536,12578
11263,M2 Grin Gold Grill,M2 Leather Jacket,M2 Wide Eyed,M2 Black,M2 Yellow,M2 Sea Captain's Hat,None,None,52.556962240894414,12579
